business_id,date,daily_sales_amount,daily_order_count,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_30,rolling_7_day_sales,rolling_14_day_sales,rolling_30_day_sales,rolling_7_day_orders,rolling_30_day_orders,day_of_week,day_of_month,month,days_since_series_start
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-29,1428.9,1,3675.72,5143.57,2123.63,951.03,3352.365714285714,2203.8849999999998,1834.7693333333334,1.2857142857142858,0.9666666666666667,6,29,9,30
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-09-30,613.35,1,1428.9,3182.61,2947.14,0.0,2821.6985714285715,2154.261428571429,1850.6983333333333,1.2857142857142858,0.9666666666666667,0,30,9,31
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-01,0.0,0,613.35,0.0,1915.14,4754.49,2454.661428571428,1987.5621428571428,1871.1433333333334,1.1428571428571428,1.0,1,1,10,32
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-02,7722.38,1,0.0,3698.86,401.92,3076.97,2454.661428571428,1850.7664285714286,1712.6603333333335,1.1428571428571428,0.9,2,2,10,33
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-03,22991.89,4,7722.38,4428.5,0.0,0.0,3029.4500000000003,2373.656428571429,1867.5073333333335,1.1428571428571428,0.9,3,3,10,34
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-04,6501.41,2,22991.89,3337.3,0.0,0.0,5681.362857142857,4015.934285714286,2633.9036666666666,1.4285714285714286,1.0333333333333334,4,4,10,35
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-05,0.0,0,6501.41,3675.72,0.0,0.0,6133.3785714285705,4480.3207142857145,2850.6173333333336,1.5714285714285714,1.1,5,5,10,36
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-06,10723.53,4,0.0,1428.9,5143.57,434.28,5608.275714285715,4480.3207142857145,2850.6173333333336,1.2857142857142858,1.1,6,6,10,37
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-07,10176.57,2,10723.53,613.35,3182.61,1139.97,6936.080000000001,4878.8892857142855,3193.5923333333335,1.7142857142857142,1.2,0,7,10,38
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-08,9577.46,3,10176.57,0.0,0.0,0.0,8302.254285714287,5378.457857142857,3494.8123333333333,1.8571428571428572,1.2333333333333334,1,8,10,39
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-09,5514.08,2,9577.46,7722.38,3698.86,0.0,9670.462857142858,6062.562142857142,3814.061,2.2857142857142856,1.3333333333333333,2,9,10,40
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-10,6480.98,1,5514.08,22991.89,4428.5,0.0,9354.99142857143,6192.220714285714,3997.8636666666666,2.4285714285714284,1.4,3,10,10,41
9ae1ca9a-c01b-423f-8f5c-7af4a702a6f1,2024-10-11,16314.5,2,6480.98,6501.41,3337.3,0.0,6996.29,6338.8264285714295,4213.896333333333,2.0,1.4333333333333333,4,11,10,42
